
setup: Firefly motors 3 statically tested in mocap studio (no blade) 

throttle    arduSensor      StrobeLight
1200        39-43           2628
1300        60-61           3942
1160        30-32           1907
1170        33-35           2124
1150        28-29           1757
1140        25              1517
1130        20-21           1248
1126        19              1155
1220        46-47           2959
1190        38-41           2480
1170        33-35           2123
1180        37              2289
1210        43-44           2780
1230        48-49           3082
1240        50-51           3238

setup: Firefly motors 8 statically tested in mocap studio (no blade) 

throttle    arduSensor      StrobeLight
1200        38-42           2598           
1300        59-60           3891           
1160        31-32           1927
1170        34-36           2136
1150        27-28           1743
1140        23-24           1421
1130        19-20           1204
1126        17-18           1086
1220        47-48           2969
1190        39-40           2480
1170        34-36           2139
1180        37-38           2324
1210        43-46           2797
1230        48-50           3086
1240        51-52           3221

